Name,Assembly Code,MF_Number
Escalators,D101030,14 31 00
Escalators and Moving Walks,D1020,
Escape Chutes,D105060,14 91 23
Evaporative Air-Cooling,D303030,23 76 00
Examination and Preparation,Z107010,01 71 00
Examination and Treatment Equipment,E104020,11 72 00
"Excavation and Fill, Site",G107020,31 23 00
Excavation Rock Anchors,A903010,31 51 16
Excavation Soil Anchors,A903010,31 51 13
Excavation Site,G107020,31 23 16
Excavation Substructure,A9010,31 23 16
"Excavation Support, Substructure",A9030,31 50 00
Excavation Tunnel,G901090,31 71 00
Execution,Z107020,01 73 00
Execution and Closeout Requirements,Z1070,01 70 00
Exercise Equipment,E107050,11 66 13
Exhaust Air,D306030,
Exhaust Air Ducts and Casings,D306030,23 31 00
Exhaust Air HVAC Fans,D306030,23 34 00
Exhaust Air Inlets,D306030,23 37 00
Exhaust Air Plenums and Chases,D306030,23 32 00
Exhibit Equipment,E104010,11 59 00
Exhibit Turntables,D1030.30,14 73 00
Existing Conditions,1040,02 00 00
Existing Conditions Assessment,104030,02 22 00
Existing Conditions Information,304030,00 31 19
Existing Hazardous Material Information,304050,00 31 26
Existing Material,,
Existing Material Assessment ,104030,02 25 00
Existing Material Information,304045,00 31 25
"Existing Products, Installation",Z107020,01 73 26
Exit Signs,D504050,26 53 00
Expansion Control Exterior Wall,B201080,07 95 00
Expansion Control Floor Construction,B101090,07 95 00
Expansion Control Horizontal Waterproofing,B304090,07 71 29
Expansion Control Interior Partitions,C101090,07 95 00
Expansion Control Roof Construction,B102090,07 95 00
Expansion Control Roofing,B301090,07 71 29
Expansion Fittings and Loops Building Support Plumbing,D203090,22 05 16
"Expansion Fittings and Loops Distribution Systems, HVAC",D305090,23 05 16
Expansion Fittings and Loops Domestic Water,D201090,22 05 16
Expansion Fittings and Loops Fire Suppression,D401090,21 05 16
Expansion Fittings and Loops Sanitary Drainage,D202090,22 05 16
Exterior,B207010,
Exterior Aluminum Doors,B2030230,
Exterior Aluminum Windows,B2020106,
Exterior Athletic Equipment,G205010,11 68 23
Exterior Athletic Lighting,G205010,26 56 68
Exterior Bulkheads,B308030,
Exterior Ceilings,B308010,
Exterior Curtain Wall Panels,B2020220,
Exterior Door,B205090,
Exterior Doors,B2050,
Exterior Doors,B2030,
Exterior Doors Supplementary Components,B205090,
"Exterior Enclosures, Overhead",B3080,
Exterior Fabrications,B208070,
Exterior Finish Carpentry,B201010,06 20 13
Exterior Gas Lighting,G206045,10 84 13
"Exterior Glazed Doors, Steel or Aluminum",B2030110,
Exterior Grilles,B2050,
Exterior Horizontal Enclosures,B30,
Exterior Insulation and Finish Systems,B201010,07 24 00
Exterior Louvers and Vents,B2070,08 90 00
Exterior Opening Protection Devices,B208030,
Exterior Protection,B208030,10 71 00
Exterior Signage,G206030,10 14 00
Exterior Soffits,B308020,
Exterior Steel Doors,B2030220,
Exterior Steel Windows,B2020104,
Exterior Steps and Ramps,G203030,
Exterior Sun Control Devices,B208030,10 71 13
Exterior Tubular Aluminum Framing,B2020210,
Exterior Vertical Enclosures,B20,
Exterior Vinyl Clad Windows,B2020108,
Exterior Wall,B2010,
Exterior Wall Air Barrier,B201080,07 27 00
Exterior Wall Appurtenances,B2080,
Exterior Wall Construction,B201020,
Exterior Wall Dampproofing,B201080,07 11 00
Exterior Wall Expansion Joints,B201080,07 95 00
Exterior Wall Grouting,B201080,03 60 00
Exterior Wall Insulation,B201080,07 20 00
Exterior Wall Interior Skin,B201030,
Exterior Wall Specialties,B208090,10 74 00
Exterior Wall Vapor Retarder,B201080,07 26 00
Exterior Wall Veneer,B201010,
Exterior Wall Weather Barrier,B201080,07 25 00
Exterior Wall Opening Flashing,B201090,07 60 00
Exterior Wall Opening Joint Sealants,B201090,07 92 00
Exterior Wall Opening Lintels,B201090,
Exterior Wall Opening Sills,B201090,
Exterior Walls,B2010,
Exterior Windows,B2020,
Exterior Windows Supplementary Components,B202090,
Exterior Wood Doors,B2030210,
Exterior Wood Windows,B2020102,
External Devices,D601030,27 24 19
Extra Stock Materials,Z107070,01 78 46
Eye/Face Wash Equipment,D201060,22 45 26
Eyewash Equipment,D201060,22 45 16
Fabric Structures,F102010,13 31 00
"Fabricated Cabinets, EACH Fabricated Counters, LF",C1030830,
"Fabricated Compact Units and Cubicles, EACH",C1030210,
Fabricated Exterior Wall Assemblies,B201040,
Fabricated Exterior Wall Assemblies Faced Panel Assemblies,B201040,07 44 63
Fabricated Exterior Wall Assemblies Wall Panel Assemblies,B201040,07 42 63
Fabricated Rooms,F101050,13 20 00
Fabrications Exterior,B208070,
Fabrications Interior,C2020,
Fabricator Qualifications,Z104040,01 43 19
"Fabric-Wrapped Wall Panels
",C201060,09 77 23
Façade Access Equipment,D108050,11 24 2002
Façade Support Truss Assemblies,B201010,05 19 13
Facade Panels,,07 44 00
Faced Panels Exterior Bulkheads,B308030,07 44 00
Faced Panels Exterior Ceilings,B308010,07 44 00
Faced Panels Exterior Soffits,B308020,07 44 00
Faced Panels Exterior Walls,B201010,07 44 00
Facility Decommissioning,Z109080,01 94 00
Facility Decommissioning Procedures,Z109080,01 94 13
Facility Fuel Systems,D3010,23 10 00
Facility Fuel-Oil Pumps,D301030,23 12 13
Facility Gasoline Dispensing Pumps,D301030,23 12 16
Facility Grounding,D502070,26 05 26
Facility HVAC Distribution Systems,D3050,
Facility Hydronic Distribution,D305010,
Facility Maintenance,Z109050,01 93 00
Facility Maintenance Procedures,Z109050,01 93 13
Facility Operation,Z109030,01 92 00
Facility Operation Procedures,Z109030,01 92 13
"Facility Packaged, Sewerage Pumping Stations",D202010,22 13 43
Facility Potable-Water Storage Tanks,D202010,22 12 00
Facility Power Generation,D5010,
Facility Power Generation Supplementary Components,D501090,27 32 29
Facility Program,10205,
Facility Remediation,F20,
Facility Septic Tanks,D202010,
Facility Services Coordination,Z102010,
Facility Shell Commissioning,Z109010,
Facility Stormwater Drains,D203030,
Facility Substructure Commissioning,Z109010,
Facsimiles and Modems,D602020,
Facility Power Generation Facsimiles and Modems Servers,D602030,27 33 26
Fan Coil Units Cooling,D303070,23 82 19
Fan Coil Units Heating,D302070,23 82 19
Fans HVAC,D305050,23 34 00
Fans Residential Ceiling,E106070,11 34 00
"Fans Fats, Oils, and Grease Disposal Systems",D202030,22 13 19.23
"Fans Faucets, Healthcare",D201060,22 43 39
Feeder Installation,D5010230,
"Fans Feedwater Equipment, Heating Boiler",D302010,23 53 00
Fans Fees,Z104010,01 41 23
Fans Fees and Contingencies,Z90,
Fence & Guardrails,G2040105,
Fences and Gates,G206020,32 31 00
Fences and Gates Recreational Court,G205030,32 31 13.23
Fences and Gates Temporary,Z105040,01 56 26
Fences and Gates Tennis Court,G205010,32 31 13.26
Fiber Soil Reinforcement,G107050,31 34 23
Field Engineering,Z107010,01 71 23
Field Offices and Sheds,Z105020,01 52 13
Field Orders,Z101060,01 26 39
Field Quality Control Procedures,Z104080,01 45 16
Field Samples,Z104040,01 43 36
"Field Services, Manufacturer's",Z104040,01 43 33
Field Sport Surfacing,G205010,32 18 23.23
Field Supervision ,Z102010,
Field Test Reporting,Z102050,01 33 19
"Fill, Site",G107020,31 23 23
Film Transfer Cabinets,E103060,11 27 16
"Filtration Equipment, Domestic Water",D201020,22 32 00
Final Cleaning,Z107030,01 74 00
Final Closeout Review,Z107060,01 77 16
Final Site Survey,Z107070,01 78 29
Financing Budget,2090,
Financing Costs,Z9090,
Financing Fine Grading,G107010,31 22 16
Financing Finish Grading,G107010,31 22 19
"Finishes, Interior",C20,
"Finishes, Interior Ceiling",C2050,09 50 00
"Finishes, Interior Stair",C2040,
"Finishes, Interior Wall",C2010,09 70 00
Finishing Equipment,E103035,11 23 19
Finned-Tube Radiation Heaters,D302070,23 82 36
Fire Alarm,D705010,
Fire Alarm Initiating Devices,D705010,28 31 53
Fire Alarm Integrated Audio Visual Evacuation Systems,D705010,28 31 63
Fire Alarm Fire Detection and Alarm,D705010,28 31 00
Fire Detection and Alarm Annunciation Panels and Fire Stations,D705010,28 31 23
"Fire Detection and Alarm Control, GUI and Logic Systems",D705010,
Fire Detection and Alarm Interfaces,D705010,28 31 33
Fire Detection Sensors,D705010,28 31 43
Fire Escapes,B108060,05 51 23
Fire Extinguishers,D403030,10 44 16
Fire Extinguishers Accessories,D403070,10 44 43
Fire Hose Equipment,D4020410,
Fire Hydrants,,33 12 19
Fire Hydrants Site Domestic Water,G301010,33 12 19
Fire Hydrants Site Fire Protection,G301030,33 12 19
Fire Protection,D40,
Fire Protection Cabinets,D403010,10 44 13
Fire Protection Specialties,D4030,10 44 00
Fire Protection Temporary,Z105010,01 51 16
Fire Pumps,D401010,21 30 00
Fire Suppression,D4010,21 00 00
Fire Suppression Supplementary Components,D401090,
Fire Suppression Fire-Extinguishing,D4090910,21 20 00
Fireplaces and Stoves,C1090.50,10 30 00
Fireplaces and Stoves Specialties,C1090.50,10 32 00
Fireproofing,,07 80 00
Fireproofing Floor Construction,B1010.90,07 80 00
Fireproofing Roof Construction,B1020.90,07 80 00
Firestopping,,07 84 00
Firestopping Floor Construction,B1010.90,07 84 00
Firestopping Interior Partitions,C1010.90,07 84 00
Firestopping Roof Construction,B1020.90,07 84 00
Fittings,C1030,
"Five Fixture Bathroom, One Wall Plumbing",D2010936,
"Five Fixture Bathroom, Three Wall Plumbing",D2010934,
"Five Fixture Bathroom, Two Wall Plumbing",D2010932,
Fixed Furnishings,E2010,
"Fixed Floor Grilles and Mats, SF",E2010420,
"Fixed Multiple Seating, EACH",E2010510,
Flagpoles,G2040810,
Flashing,B3010430,
Flat Precast Concrete,B2010102,
Floor Construction,B1010,
Floor Finishes,C3020,
Flooring,C2030,09 60 00
Flooring Access,C106010,09 60 00
Flooring Entrance,C203085,
Flooring Supplementary Components,C203090,
Flooring Treatment,C203010,09 61 00
Flooring Flowable Fill,G107020,31 23 23.33
Fluid-Applied Flooring,C203070,09 67 00
Fluid-Applied Flooring Athletic,C203080,09 67 66
"Fluorescent Fixture, High Bay, 8¢-10¢ (by Wattage)",D5020218,
Fluorescent Fixtures (by Type),D5020208,
Fluorescent Fixtures (by Wattage,D5020210,
Flushometers,D201060,22 42 43
Flushometers Healthcare,D201060,22 43 43
Flushometers Security,D201060,22 46 43
Fluted Window or Mullion Precast Concrete,B2010103,
FM200 Systems,D4090920,
Flushometers Foam-Water Systems,D401010,21 13 39
Folding and Portable Stages,E107010,11 61 23
"Folding Doors, Interior",C103030,08 35 13
"Folding Gates, Interior",C104050,10 22 16
Folding Grilles,,08 35 16
Folding Grilles Exterior,B205060,08 35 16
Folding Grilles Interior,C104010,08 35 16
Folding Panel Partitions,C101050,10 22 39
Food Cooking Equipment,E103080,11 44 00
Food Delivery,E103080,
Food Delivery Carts,E103080,11 41 13
Food Delivery Carts and Conveyors,E103080,11 43 00
Food Delivery Conveyors,E103080,11 41 16
Food Dispensing Equipment,E103080,11 46 00
Food Preparation Equipment,E103080,11 42 00
"Food Service Equipment, EACH",E1090350,
"Food Service Equipment, SF",E1090360,
Food Service Shelving,E103080,11 41 33
Food Storage Equipment,E103080,11 41 00
Foodservice Equipment,E103080,11 40 00
Footings Continuous,A101010,
Footings Spread,A101030,
Formed Metal,B3010135,
Forms Agreement,401030,00 52 00
Forms Agreement Supplements,401035,00 54 00
Forms Bid,305010,00 41 00
Forms Bond,402010,00 61 00
Forms Certificates,402030,00 62 00
Forms Clarification,402050,00 63 00
Forms Closeout,402070,00 65 00
Forms Contracting,4010,00 50 00
Forms Modification,40205,00 63 00
Forms Notice of Award,40101,00 51 00
Forms Notice to Proceed,40105,00 55 00
Forms Procurement,3050,
Forms Project,4020,00 60 00
Forms Proposal,30502,00 42 00
Foundation,A1010320,
Foundation Underdrain,A1010310,
Foundations,A10,
Foundations Anchors,A102040,31 68 00
Foundations Column,A101030,
Foundations Drainage,A601010,33 46 13
Foundations Raft,A201060,03 71 00
Foundations Special,A1020,31 60 00
Foundations Standard,A1010,
Foundations Walls,A101010,
Fountains Equipment,G206010,
Fountains Equipment Controls Exterior,G206010,22 52 23
Fountains Equipment Controls Interior,F105020,22 52 23
Fountains Equipment Exterior,G206010,
Fountains Equipment Interior,F105020,
Fountains Exterior,G206010,13 12 13
Fountains Interior,F105020,13 12 23
Fountains Piping System Exterior,G206010,22 52 13
Fountains Piping System Interior,"F105020
",22 52 13
Fountains Plumbing Systems Exterior,G206010,22 52 00
Fountains Plumbing Systems Interior,"F105020
---",22 52 00
Fountains Pumps Exterior,G206010,22 52 16
Fountains Pumps Interior,"F105020
",22 52 16
Fountains Specialties Exterior,G206010,
Fountains Specialties Interior,F105020,
"Four Fixture Bathroom, Three Wall Plumbing",D2010930,
"Four Fixture Bathroom, Two Wall Plumbing",D2010928,
Framed Fabric Structures,F102010,13 31 33
Framed Skylights,B306010,
Frames Exterior Doors,B205090,08 10 00
Frames Horizontal Openings,B306090,
Frames Interior Doors,C103090,08 10 00
Frames Interior Windows,C102090,08 50 00
"Freezers, Walk-In",E103080,11 41 26
Freight Elevators,D101010,14 20 00
"Frequency Converters
","D501010
",26 32 26
Fuel Cells,D501040,48 18 00
"Fuel Distribution, Site",G3060,
Fuel-Gas Detection and,D705030,
Fuel-Oil Detection and Alarm,D705040,28 34 00
"Fuel-Oil Pumps, Site",G306020,33 52 13.23
"Fuel-Oil Storage Tanks, Site",G306020,33 56 00
Fume Hood Exhaust,D306030,23 38 16
"Fume Hoods, Laboratory",E104010,11 53 13
Functional Towers,F102070,
Funding,1090,
Funding Budget,10901,00 31 16
Funding Cash Flow,10905,
Funding Sources,10903,
Funiculars,D103070,34 13 00
Furnaces,D302010,23 54 00
Furnishings,E20,12 00 00
Furnishings Accessories,E205040,12 46 00
Furnishings Movable,E2050,
Furnishings Site,G206025,12 93 00
Furnishings/EACH,E2020210,
Furniture,E205030,12 50 00
"Furniture and Accessories, LF",E2020220 ,
"Fuses, Site Electrical",G401050,
"Fusible Interrupter Switchgear, Site Electrical",G401050,33 77 26
Gabions,G107060,31 36 00
Gabions Boxes,G107060,31 36 13
Gabions Mattresses,G107060,31 36 19
Gabions Retaining Walls,G206060,32 32 36
Game Room Equipment,E107060,11 67 53
"Garment Conveyors, Hanging",E103035,11 23 43
Gas Containment,G105040,02 56 19
"Gas Distribution, Site",G306010,33 51 00
Gas Equipment,D206030,
Gas Fired Water Heaters - Commercial Systems,D2020250,
"Gas Lighting, Exterior",G206045,10 84 13
"Gas Lighting, Interior",C109045,10 84 16
Gas Mitigation Piping,A60,
Gas Service Piping,G3060110,
Gas Site Utilities,G30,
Gas Storage Tanks,D206030,22 63 19
Gas Systems Healthcare,D206030,22 63 00
Gas Systems Laboratory,D206030,22 63 00
Gas Utility Connection,G306010,
"Gas Vent, Galvanized Steel, Double Wall",D3020310,
"Gasoline Distribution, Site",G306030,33 52 16
"Gasoline Piping, Site",G306030,33 52 16.13
"Gasoline Pumps, Site",G306030,33 52 16.23
"Gasoline Storage Tanks, Site",G306030,33 56 00
Gas-Phase Air Filtration,D305050,23 42 00
Gates Recreational Court,G205030,32 31 13.23
Gates Roadway Vehicle Fare,G201080,34 52 33
Gates Tennis Court,G205010,32 31 13.26
Gates Exterior,B205070,
Gates Exterior Parking,G202080,11 12 33
Gates Exterior Pedestrian,G203080,11 14 13
Gates Interior,C104050,
Gates Interior Parking,E101030,11 12 33
Gates Interior Pedestrian,E101070,11 14 13
Gates Operators,G206020,32 31 11
General,Z,
General Commissioning Requirements,Z109010,01 91 13
General Conditions,40303,00 72 00
General Purpose Electrical Power,D5030,
General Purpose Electrical Power Supplementary Components,50309,
General Requirements,Z10,01 00 00
General Service Compressed Air,D2050,22 15 19
General Service Compressed Air Packaged Air Compressors and Recievers,D2050,
General Service Compressed Air Piping,D2050,22 15 13
General Service Compressed Air Valves,D2050,22 15 16
General-Duty Valves Cooling Systern,D303090,23 05 23
General-Duty Valves Distribution Systems,D305090,23 05 23
General-Duty Valves Fire Suppression,D401090,21 05 23
General-Duty Valves Heating System,D302090,23 05 23
Generators (by kW),D5090210,
Geodesic Domes,F102030,13 33 13
Geodesic Structures,F102030,13 33 00
Geofoam,G107020,31 23 23.43
Geophysical Data,304055,00 31 31
Geophysical Investigations,10405,02 31 00
Geosynthetic Slope Protection,G107055,31 35 19
Geosynthetic Soil Reinforcement,G107050,31 34 19
Geosynthetic Soil Stabilization,G107040,31 32 19
Geotechnical Data,30406,00 31 32
Geotechnical Engineers,20303,
Geotextile Subsurface Drainage Filteration,G303060,33 46 26
Geothermal Heat Generation,D302010,
Girders and Beams Floor,B101010,
Girders and Beams Roof,B102010,
Glass Block,B2010140,
Glass Unit Masonry,,04 23 00
Glass-Fiber-Reinforced Concrete Exterior Fabrications,B208070,03 49 00
Glass-Fiber-Reinforced Concrete Interior Fabrications,C2020,03 49 00
"Glazed Pantitions, Interior",C101020,13 34 13
Glazed Structures,F102040,13 34 13
Glazing,,08 80 00
Glazing Exterior Doors,B205090,08 80 00
Glazing Exterior Windows,B202090,08 80 00
Glazing Horizontal Openings,B306090,08 80 00
Glazing interior Doors,C103090,08 80 00
Glazing interior Windows,C102090,08 80 00
Glued-Laminated Balcony Construction,B101030,06 18 00
Glued-Laminated Canopy Construction,6B102030,06 18 00
Glued-Laminated,,06 18 16
Glued-Laminated Columns Supporting Floors,B101010,06 18 16
Glued-Laminated Columns Supporting Roofs,B102010,06 18 16
Glued-Laminated Floor Decks,B101020,06 18 00
Glued-Laminated Floor Girders and Beams,B101010,06 18 13
Glued-Laminated Mezzanine Construction,B101040,06 18 00
Glued-Laminated Ramps,B101050,06 18 00
Glued-Laminated Roof Decks,B102020,06 18 00
Glued-Laminated Roof Girders and Bearns,B102010,06 18 13
Governmental Safety Requirements,Z102070,01 35 26
Grade Beams,A102080,
Grade Beams,A1020210,
Grading,G107010,31 22 00
Grandstands and Bleachers,G205010,13 34 16
Grandstands and Bleachers Exterior,F102040,13 34 16
Grandstands and Bleachers Graphics/Multimedia Software,D601050,27 25 23
Grandstands and Bleachers Grasses,20802,32 92 00
Gratings Entrance Floor,C203085,12 48 19
Gratings Metal,B108070,05 53 00
Gravel Stop,B3010630,
Gravel Stops and Fascias Horizontal Waterproofing,B304090,07 71 19
Gravel Stops and Fascias Roofing,B301090,07 71 19
"Gravel, Roofing",B301050,
Gray Water Systems,D203060,
Gray Water Systems Equipment,D203060,
Gray Water Systems Piping System,D203060,
Gray Water Systems Specialties,D203060,
Gray Water Systems Tanks,D203060,22 13 63
Gray Water Systems Treatment Equipment,D203060,
Grease Removal Devices,D203060,22 13 19.26
Green Roofing,B301050,07 55 63
"Grilles and Gates, Interior",C1040,
Grilles and Screens Exterior Fixed,B208010,10 82 13
Grilles and Screens interior Fixed,C101070,10 82 23
Grilles Exterior,B2050,
Grilles Exterior Operating,B205060,
Grilles interior,C104010,
Ground Covers,G208030,32 93 13
Ground Face Block Wall,B2010121,
Ground Freezing,A903060,31 54 00
Grounding and Bonding Communications,D609010,27 05 26
Grounding and Bonding Communications Distribution,G501030,33 82 43
Grounding and Bonding Electrical Service and Distribution,D502090,26 05 26
Grounding and Bonding Electronic Safety and Security,D709010,28 05 26
Grounding and Bonding Facility Power Generation,D502090,26 05 26
Grounding and Bonding General Purpose Power,D501090,26 05 26
Grounding and Bonding Integrated Automation,D801090,27 05 26
Grounding and Bonding Lighting,D504090,26 05 26
Grounding and Bonding Miscellaneous Electrical,D508090,26 05 26
"Grounding, Site",G401070,33 79 00
Ground-Set Flagpoles,G206035,10 75 16
Groundwater Treatment,G105080,02 71 00
Group Wash Fountain Systems,D2010610,
Grouting,,03 60 00
Grouting Exterior Wall,B201080,03 60 00
Grouting Floor Construction,B102090,03 60 00
Grouting Roof Construction,B102090,03 60 00
Fuel-Gas Detection and Alarm GUI and Logic Systems,D705030,28 33 00
GUI and Logic Systems,D705050,
Gun Ports,E104060,11 18 16
Gutters,B302070,07 71 23
Gutters,B3010610,
Gymnasium Dividers,E107050,11 66 53
Gymnasium Equipment,E107050,11 66 53
"Gypsum Board Ceilings, Suspended",C107020,09 20 00
Gypsum Board Exterior Bulkheads,B308030,09 20 00
Gypsum Board Exterior Ceilings,B308010,09 20 00
Gypsum Board Exterior Soffits,B308020,09 20 00
Gypsum Board Exterior Wall Interior Skin,B201030,09 20 00
"Gypsum Board Finish, Ceilings",C205010,09 20 00
Gypsum Board Interior Partitions,C101010,09 20 00
Gypsum Board Stair Soffits,B108030,09 20 00
Gypsum Board Subgrade Enclosure Wall Interior Skin,A201020,09 20 00
Hand-Held Emergency Drench Hoses,D201060,22 45 29
Handling of Lighting Ballasts and Lamps Containing Mercury or PCB,F201040,02 84 16
Hangar Doors,B205030,08 34 16
Hangers and Supports Building Support Plumbing,D203090,22 05 29
Hangers and Supports Communications,D609010,27 05 29
Hangers and Supports Cooling System,D303090,23 05 29
Hangers and Supports Distribution Systems,D305090,23 05 29
Hangers and Supports Domestic Water,D201090,22 05 29
Hangers and Supports Electrical Service and Distribution,D502090,26 05 29
Hangers and Supports Facility Power Generation,D501090,26 05 29
Hangers and Supports Fire Suppression,D401090,21 05 29
Hangers and Supports General Purpose Power,D503090,26 05 29
Hangers and Supports Heating System,D302090,23 05 29
Hangers and Supports Lighting,D504090,26 05 29
Hangers and Supports Miscellaneous Electrical,D508090,26 05 29
Hangers and Supports Process Support Plumbing,D206090,22 05 29
Hangers and Supports Sanitary Drainage,D202090,22 05 29
Hangers and Supports Ventilation,D306090,23 05 29
Hardware,C1020310,
Hardware Exterior Doors,B205090,08 71 00
Hardware Exterior Windows,B202090,08 75 00
Hardware Horizontal Openings,B306090,08 75 00
Hardware Interior Doors,C103090,08 71 00
Hardware Interior Windows,C102090,08 75 00
Hard-Wired Detention Monitoring and Control Systems,D707010,28 46 13
Harmonic Filters,D501060,26 35 26
Hat and Coat Racks,C109070,10 57 13
Hatches,B3020210,
"Hatches, Roof",B306050,07 72 33
Haul Routes,Z105035,01 55 16
Hazard Warning Lighting,D504050,26 55 33
Hazardous Materials Assessment,10403,02 26 00
Hazardous Materials Remediation,F2010,02 80 00
Hazardous Materials Requirements,Z106050,01 66 13
Hazardous Waste Drum Handling,G105050,02 86 00
Hazardous Waste Recovery Processes,G105060,02 62 00
"Health, Safety, and Emergency Response Procedures",Z102070,01 35 29
Healthcare Casework,E201030,12 35 70
Healthcare Chemical-Waste Systems,D206040,22 66 00
Healthcare Communications and Monitoring,D606030,27 52 00
Healthcare Compressed-Air Systems,D206010,22 61 00
Healthcare Equipment,E104020,11 70 00
Healthcare Facility Special Procedures,Z102070,01 35 13.19
Healthcare Furniture,E205030,12 56 70
Healthcare Gas Systems,D206030,22 63 00
Healthcare Imaging Systems,D606030,27 52 19
Healthcare Lighting,D504050,26 55 70
Healthcare Metal Supports,E104020,05 45 23
Healthcare Plumbing Fixtures,D201060,22 43 00
Healthcare Processed Water Systems,D206050,22 67 00
Healthcare Seating,E205030,12 52 70
Healthcare Vacuum Systems,D206020,22 62 00
Heat Exchangers Domestic Water,D201020,22 35 00
Heat Exchangers HVAC,D302010,23 57 00
Heat Generating Systems,D3020,
Heat Generation,D302010,
Heat Generation Biomass,D302010,
Heat Generation Fuel-Fired,D302010,
Heat Generation Geothermal,D302010,
Heat Generation Solar,D302010,23 56 00
Heat Pumps,D303070,
Heat Pumps Air-Source,D303070,23 81 43
Heat Pumps Unitary,D303070,
Heat Pumps Water-Source,D303070,23 81 46
Heat Tracing Building Support Plumbing,D203090,22 05 33
Heat Tracing Distribution Systems,D305090,23 05 33
Heat Tracing Domestic Water,D201090,22 05 33
Heat Tracing Fire Suppression,D401090,21 05 33
Heat Tracing Process Support Plumbing,D206090,22 05 33
Heat Tracing Sanitary Drainage,D202090,22 05 33
Heaters,D302010,
"Heaters, Domestic Water",D201020,22 33 00
Heating Boilers,D302010,23 52 00
Heating Boilers Electric,D302010,23 52 13
Heating Boilers Feedwater Equipment,D302010,23 53 00
Heating Boilers Fuel-Fired,D302010,23 52 00
Heating Solar Collectors,D302010,23 56 13
"Heating System, Fin Tube Radiation",D3020110,
Heating Systems,D3020,
Heating Systems Supplementary Components,D302090,
"Heating Systems, Unit Heaters",D3020108,
Heating Utility Connection,G305010,
"Heating, Cooling, and Ventilating, Temporary",Z105010,01 51 23
"Heating, Ventilation, and Air Conditioning",D30,23 00 00
Heating/Cooling System,D3030214,
Heavy Timber Balcony Construction,B101030,06 13 00
Heavy Timber Canopy Construction,B102030,06 13 00
Heavy Timber Columns Supporting Roots,B102010,06 13 00
Heavy Timber Columns Supporting Floors,B101010,06 13 00
Heavy Timber Floor Ginders and Beams,B101010,06 13 00
Heavy Timber Floor Trusses,B101010,06 13 26
Heavy Timber Mezzanine Construction,B101040,06 13 00
Heavy Timber Ramps,B101050,06 13 00
Heavy Timber Roof Ginders and Beams,B102010,06 13 00
Heavy Timber Roof Trusses,B102010,06 13 26
Helipad Lighting,D504050,26 55 39
"HID Fixture, High Bay, 16? (by Type)",D5020224,
"HID Fixture, High Bay, 16? (by Wattage)",D5020226,
"HID Fixture, High Bay, 20? (by Type)",D5020228,
"HID Fixture, High Bay, 20? (by Wattage)",D5020230,
"HID Fixture, High Bay, 30? (by Type)",D5020232,
"HID Fixture, High Bay, 30? (by Wattage)",D5020234,
"HID Fixture, High Bay, 8'-10' (by Type)",D5020220,
"HID Fixture, High Bay, 8'-10' (by Wattage)",D5020222,
"HID Fixture, Low Bay, 16? (by Type)",D5020240,
"HID Fixture, Low Bay, 16? (by Wattage)",D5020242,
"HID Fixture, Low Bay, 8?-10? (by Type)",D5020236,
"HID Fixture, Low Bay, 8?-10? (by Wattage)",D5020238,
High Energy Magnetic Pulse Protection,F193050,
High Voltage Shielded Conductors,D5010110,
Historic Restoration Requirements,103070,01 35 91
Historic Treatment Procedures,Z102070,01 35 91
Hoists,D105020,41 22 23
Hoists Temporary,Z105030,01 54 16
Horizontal Conveying,D1030,
Horizontal Openings,B3060,
Horizontal Openings Supplementary Components,B306090,
Horizontal Waterproofing Copings,B304090,07 71 13
Horizontal Waterproofing Counterflashing Systems,B304090,07 71 16
Horizontal Waterproofing Deck insulation,B304090,07 20 00
Horizontal Waterproofing Expansion Joints,B304090,07 71 29
Horizontal Waterproofing Flexible Flashing,B304090,07 65 00
Horizontal Waterproofing Gravel Stops and Fascias,B304090,07 71 19
Horizontal Waterproofing Membrane,B304030,07 10 00
Horizontal Waterproofing Sheet Metal Flashing and Trim,B304090,07 62 00
Horizontal Waterproofing Substrate Board,B304090,09 28 00
Horizontal Waterproofing Vapor Retarder,B304090,07 26 00
Horticultural Equipment,E109040,11 93 00
"Hortzontal Enclosures, Extertor",B30,
"Hortzontal Enclosures, Extertor Traffic Bearing",B3040,
Hospital Unit Modules,F101010,13 42 25
Hospitality Casework,E201030,12 35 25
Hospitality Equipment,E103050,11 25 00
Hospitality Furniture,E205030,12 54 00
Hospitality Turntables,D103030,14 72 00
Hot Tubs ,F105010,13 17 13
Hotel and Motel Furniture,E205030,12 54 13
Housekeeping Carts,E103040,11 24 16
Humidity Control,D305050,23 84 00
HVAC,D30,23 00 00
HVAC Air Cleaning,D306070,23 40 00
HVAC Air Cleaning Devices,D305050,23 40 00
HVAC Air Distribution,D305050,
HVAC Air Distribution Components,D305050,23 30 00
HVAC Ducts and Casings,D305050,23 31 00
HVAC Fans,D305050,23 34 00
HVAC Fans Exhaust Air,D306030,23 34 00
HVAC Fans Outside Air,D306040,23 34 00
HVAC Fans Return Air,D306020,23 34 00
HVAC Fans Supply Air,D306010,23 34 00
HVAC Heat Exchangers,D302010,23 57 00
"HVAC Systems, integrated Automation Control",D801050,
Hydraulic,D1010110,
Hydraulic Elevators,,14 24 00
Hydraulic Elevators Freignt,D101010,14 24 13
Hydraulic Elevators Passenger,D101010,14 24 23
Hydraulic Elevators Residential,D101010,14 24 33
